step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
342,0.003136776,0.0034768605,0.00414497,0.0030935747,0.0027117003
343,0.005692936,0.0044641905,0.0068149567,0.0028158126,0.010207146
344,0.0076899356,0.004769005,0.0061923983,0.004856122,0.0033245687
345,0.005480944,0.0033268812,0.0035497341,0.0062496997,0.005382561
346,0.0035790708,0.0053443015,0.004961984,0.0036870525,0.0093396045
347,0.0038917074,0.00367265,0.006528134,0.0051704133,0.004462829
348,0.006518458,0.0053667217,0.007123624,0.0053970274,0.005353236
349,0.006065882,0.005148452,0.004509882,0.004761249,0.0051008835
350,0.0033181913,0.004236844,0.0066431714,0.0017473671,0.00781529
351,0.008185392,0.0043876176,0.0045946348,0.0032099728,0.004324588
352,0.005188185,0.0063108727,0.0059386035,0.004596162,0.004855901
353,0.007637134,0.0023198707,0.002405434,0.0044319965,0.0045779934
354,0.008849123,0.00707049,0.005140094,0.005118286,0.009588388
355,0.0060138893,0.0039554164,0.0040587545,0.0050870753,0.006956801
356,0.0068006255,0.003988165,0.002950188,0.005505782,0.0033243923
357,0.004363877,0.0060394453,0.006485974,0.0037917807,0.0042657396
358,0.0062729036,0.002427071,0.006183723,0.00771282,0.005944521
359,0.006137411,0.0045418153,0.0036566672,0.0021823552,0.0021078642
360,0.0050517344,0.005410902,0.0037940196,0.0036895338,0.0042026727
361,0.00723858,0.005274518,0.0056753736,0.00651788,0.003592139
362,0.005014182,0.0055180565,0.0029696645,0.0047373613,0.005186552
363,0.007671587,0.007383045,0.006531881,0.005922019,0.003925704
364,0.0042510647,0.0075975666,0.004085157,0.0041235387,0.0031690071
365,0.0049115894,0.0057874704,0.00222642,0.0033291639,0.005435364
366,0.0077370265,0.007596947,0.005959788,0.0037946492,0.005673416
367,0.0035540692,0.0026589127,0.0034645917,0.0071265865,0.00660109
368,0.008740392,0.005872532,0.003224059,0.0053494815,0.0037704548
369,0.0054091155,0.0055666477,0.0043694577,0.0033001504,0.0040365346
370,0.005159378,0.003717914,0.005035295,0.0025575494,0.0029828157
371,0.008293703,0.004283526,0.005669855,0.0041455217,0.005388559
372,0.0067102537,0.006824362,0.0046877908,0.0042096307,0.0032412536
373,0.00466047,0.0027867404,0.0030943928,0.008163858,0.00785254
374,0.0049267886,0.0025984694,0.006859754,0.0039703,0.0036486886
375,0.0033841853,0.0035505071,0.004545051,0.0038280478,0.0034250948
376,0.0034289565,0.0024862913,0.0052128024,0.005924217,0.0022982785
377,0.0053959982,0.006107974,0.004470354,0.003914086,0.004368499
378,0.0034817937,0.0047573177,0.0034356187,0.0039348667,0.0032757428
379,0.0067223655,0.0051242984,0.006819752,0.0042169206,0.0037116585
380,0.0048496374,0.0065206103,0.004523858,0.0024009063,0.0053482465
381,0.003957072,0.0038695391,0.0031777644,0.00571725,0.0030992036
382,0.00398571,0.004445336,0.0053587095,0.002322833,0.0030521592
383,0.003913289,0.005116225,0.0029915548,0.0040624333,0.0050336756
384,0.0015697132,0.004497771,0.0036904747,0.008637199,0.003402343
385,0.0056180665,0.0033158136,0.0048856204,0.0065766447,0.0045167664
386,0.007505092,0.0036899117,0.0053126267,0.003432612,0.0025436077
387,0.0032652053,0.0068245246,0.0049419776,0.0023299998,0.0074337935
388,0.0069310768,0.0043195738,0.006803415,0.005279726,0.004954172
389,0.0028715616,0.0031061359,0.008014186,0.0062714657,0.0037327483
390,0.0022063537,0.0030913758,0.003033544,0.0030495673,0.005028039
391,0.00571245,0.0038015605,0.0022233725,0.0069490643,0.0061642947
392,0.008461042,0.0065611964,0.0041763075,0.00510099,0.0056283064
393,0.0042748824,0.0028286595,0.003141087,0.0021119337,0.0064653256
394,0.003021558,0.004023512,0.0028711825,0.0056678103,0.0036391178
395,0.004283496,0.004685891,0.005480554,0.002639498,0.0026442579
396,0.0064386837,0.0019841166,0.0031794426,0.0042837085,0.0029532919
397,0.0037067933,0.0029330757,0.0053657554,0.00543721,0.0072021903
398,0.004988234,0.0052406406,0.002334081,0.003910613,0.0034220088
399,0.00718568,0.0044679,0.003904032,0.003345095,0.0042946152
400,0.0033660368,0.0057239644,0.0052694394,0.0048969747,0.0024098314
401,0.00456185,0.0032350684,0.004773885,0.0043486743,0.0043518688
402,0.008411046,0.0027104153,0.002241174,0.007981699,0.0021107576
403,0.0029497403,0.003472951,0.0065313373,0.0059523517,0.0031370537
404,0.0059129843,0.0053632357,0.003784574,0.0036983122,0.0036082077
405,0.007363357,0.0061186976,0.004522374,0.004767139,0.006546682
406,0.0022511065,0.00338421,0.0033571548,0.0050376495,0.006003009
407,0.008361523,0.0053696204,0.0034025954,0.0053020725,0.003616728
408,0.0018376759,0.00930341,0.0039186357,0.0041589295,0.004887225
409,0.009991614,0.0038755843,0.0049940944,0.003258448,0.007182641
410,0.004014668,0.002589765,0.0042322297,0.0032104265,0.004274819
411,0.0060249716,0.005752551,0.0028004365,0.0048593273,0.00397672
412,0.0027910955,0.0033400846,0.0062874514,0.0040339977,0.005415721
413,0.006001212,0.005383768,0.0075371293,0.0051225116,0.003954471
414,0.0053697755,0.0063947504,0.008506771,0.004023739,0.0064438353
415,0.005553037,0.0046578767,0.0069767875,0.0044035437,0.004015034
416,0.004756154,0.007538892,0.006497345,0.00820737,0.004528889
417,0.0068309107,0.004835803,0.0025830856,0.009002674,0.0025705588
418,0.0097415,0.0073018707,0.004015032,0.00696591,0.0052469964
419,0.0070689283,0.0044147857,0.00646115,0.0068064397,0.0034093098
420,0.0055115605,0.005494973,0.005685379,0.0062433183,0.008194387
421,0.0065731267,0.003439452,0.00851034,0.0066417414,0.0033079442
422,0.0034632157,0.0035314085,0.0041039507,0.004853297,0.0042079203
423,0.0064493576,0.006575352,0.0020455888,0.0074488744,0.008479059
424,0.007450506,0.010467997,0.005391728,0.007041669,0.0041293795
425,0.00573323,0.005211124,0.0056828847,0.0043916134,0.006991678
426,0.0058359364,0.014715323,0.004004012,0.0029000966,0.0031070916
427,0.009863066,0.008009522,0.005043852,0.0035498159,0.0053231637
428,0.0053919917,0.0035142277,0.0070330803,0.0029835675,0.0064626383
429,0.00267652,0.008357922,0.003334933,0.0047294796,0.0068554776
430,0.0030573,0.005987807,0.0029770744,0.00574131,0.007659998
431,0.0052506835,0.0029052095,0.0035052625,0.0037765948,0.0040666154
432,0.0074351765,0.0044494197,0.0077000502,0.004059365,0.003549345
433,0.0037490022,0.010573044,0.006025849,0.0036468618,0.0065367618
434,0.003316435,0.007741607,0.004679834,0.0050243,0.002665294
435,0.0031892445,0.0047669825,0.0042748386,0.0037342818,0.006597939
